valid_auc,test_auc,point,level,seed,n_points,scenario,signal_form,complementarity
0.8203729767769177,0.7737503237503238,"{'flr_l2': 0.0001, 'flr_lr': 0.5, 'flr_rounds': 800}",L3a_联邦LR,44,27,N3_阶跃_基准,threshold,0.8
0.7952146375791697,0.7606578606578606,"{'gbdt_lr': 0.05, 'max_depth': 2, 'n_rounds': 120, 'reg_lambda': 10.0}",L3b_纵向GBDT,44,81,N3_阶跃_基准,threshold,0.8
0.7956251466103683,0.7761719761719761,"{'dim_embed': 8, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.03}",L3c_SplitNN,44,54,N3_阶跃_基准,threshold,0.8
0.7097088791848617,0.778951201747997,{'c_reg': 100.0},L0_LR,55,5,N3_阶跃_基准,threshold,0.8
0.7177292576419214,0.7850439800549049,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 64}",L1_LR,55,60,N3_阶跃_基准,threshold,0.8
0.7249636098981077,0.7855201972099277,{'c_reg': 100.0},L2_LR,55,5,N3_阶跃_基准,threshold,0.8
0.7902328966521106,0.8048350047621716,{'c_reg': 100.0},L4_LR,55,5,N3_阶跃_基准,threshold,0.8
0.7904221251819505,0.8047229536668721,"{'flr_l2': 1e-05, 'flr_lr': 0.5, 'flr_rounds': 800}",L3a_联邦LR,55,27,N3_阶跃_基准,threshold,0.8
0.7599272197962155,0.7931816908510281,"{'gbdt_lr': 0.3, 'max_depth': 3, 'n_rounds': 60, 'reg_lambda': 10.0}",L3b_纵向GBDT,55,81,N3_阶跃_基准,threshold,0.8
0.7851091703056768,0.7721020785478179,"{'dim_embed': 8, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.003}",L3c_SplitNN,55,54,N3_阶跃_基准,threshold,0.8
0.6694100473170241,0.6040845212819734,{'c_reg': 10.0},L0_LR,11,5,N4_阶跃_高,threshold,2.0
0.7033121916842847,0.6106359316550399,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,11,60,N4_阶跃_高,threshold,2.0
0.6571277559649653,0.5844100697603882,{'c_reg': 0.01},L2_LR,11,5,N4_阶跃_高,threshold,2.0
0.7190174166918354,0.6852896572641796,{'c_reg': 1.0},L4_LR,11,5,N4_阶跃_高,threshold,2.0
0.7191180912111145,0.6855120816904257,"{'flr_l2': 1e-05, 'flr_lr': 0.5, 'flr_rounds': 800}",L3a_联邦LR,11,27,N4_阶跃_高,threshold,2.0
0.7669636564985403,0.6918713982408249,"{'gbdt_lr': 0.1, 'max_depth': 3, 'n_rounds': 30, 'reg_lambda': 1.0}",L3b_纵向GBDT,11,81,N4_阶跃_高,threshold,2.0
0.7731299708043894,0.6630269942371853,"{'dim_embed': 2, 'dim_hidden': 32, 'nn_epochs': 16, 'nn_lr': 0.03}",L3c_SplitNN,11,54,N4_阶跃_高,threshold,2.0
0.7822914181181898,0.7003159209462934,{'c_reg': 10.0},L0_LR,22,5,N4_阶跃_高,threshold,2.0
0.8044221745009146,0.6901403276761443,"{'c_reg': 100.0, 'k_anonymity': 10, 'n_segments': 256}",L1_LR,22,60,N4_阶跃_高,threshold,2.0
0.7806609401097591,0.7013077657776798,{'c_reg': 0.1},L2_LR,22,5,N4_阶跃_高,threshold,2.0
0.883142448103078,0.845621188744398,{'c_reg': 0.01},L4_LR,22,5,N4_阶跃_高,threshold,2.0
0.8814920862164957,0.8446660789067666,"{'flr_l2': 0.01, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,22,27,N4_阶跃_高,threshold,2.0
0.874751451523105,0.8500477554918816,"{'gbdt_lr': 0.1, 'max_depth': 3, 'n_rounds': 30, 'reg_lambda': 1.0}",L3b_纵向GBDT,22,81,N4_阶跃_高,threshold,2.0
0.8779925236618149,0.8436191315847477,"{'dim_embed': 8, 'dim_hidden': 16, 'nn_epochs': 16, 'nn_lr': 0.03}",L3c_SplitNN,22,54,N4_阶跃_高,threshold,2.0
0.6949115764348487,0.7047351524879615,{'c_reg': 1.0},L0_LR,33,5,N4_阶跃_高,threshold,2.0
0.7115655853314526,0.6760232744783307,"{'c_reg': 100.0, 'k_anonymity': 20, 'n_segments': 256}",L1_LR,33,60,N4_阶跃_高,threshold,2.0
0.7064120646631225,0.719763242375602,{'c_reg': 10.0},L2_LR,33,5,N4_阶跃_高,threshold,2.0
0.840240859281762,0.8258828250401284,{'c_reg': 0.01},L4_LR,33,5,N4_阶跃_高,threshold,2.0
0.8401142815811363,0.8244181380417336,"{'flr_l2': 0.01, 'flr_lr': 0.5, 'flr_rounds': 800}",L3a_联邦LR,33,27,N4_阶跃_高,threshold,2.0
0.818198256844237,0.8078852327447833,"{'gbdt_lr': 0.1, 'max_depth': 2, 'n_rounds': 120, 'reg_lambda': 1.0}",L3b_纵向GBDT,33,81,N4_阶跃_高,threshold,2.0
0.8342012947090521,0.78892455858748,"{'dim_embed': 4, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.01}",L3c_SplitNN,33,54,N4_阶跃_高,threshold,2.0
0.7255263157894737,0.6987976059475564,{'c_reg': 0.1},L0_LR,44,5,N4_阶跃_高,threshold,2.0
0.7746710526315789,0.6917389087200407,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,44,60,N4_阶跃_高,threshold,2.0
0.730219298245614,0.6985560535709493,{'c_reg': 10.0},L2_LR,44,5,N4_阶跃_高,threshold,2.0
0.8731140350877193,0.8331275664940014,{'c_reg': 100.0},L4_LR,44,5,N4_阶跃_高,threshold,2.0
0.8730701754385964,0.8331409860704797,"{'flr_l2': 1e-05, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,44,27,N4_阶跃_高,threshold,2.0
0.8474122807017543,0.8098982796102956,"{'gbdt_lr': 0.1, 'max_depth': 2, 'n_rounds': 60, 'reg_lambda': 10.0}",L3b_纵向GBDT,44,81,N4_阶跃_高,threshold,2.0
0.8551315789473684,0.8519015539869562,"{'dim_embed': 8, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.01}",L3c_SplitNN,44,54,N4_阶跃_高,threshold,2.0
0.6775924583031182,0.7598690909090908,{'c_reg': 0.01},L0_LR,55,5,N4_阶跃_高,threshold,2.0
0.6928531141729112,0.7725672727272728,"{'c_reg': 10.0, 'k_anonymity': 5, 'n_segments': 64}",L1_LR,55,60,N4_阶跃_高,threshold,2.0
0.6919668036419305,0.7822109090909092,{'c_reg': 1.0},L2_LR,55,5,N4_阶跃_高,threshold,2.0
0.7875110788816373,0.8455854545454545,{'c_reg': 100.0},L4_LR,55,5,N4_阶跃_高,threshold,2.0
0.7876561115139795,0.8451781818181818,"{'flr_l2': 1e-05, 'flr_lr': 1.0, 'flr_rounds': 200}",L3a_联邦LR,55,27,N4_阶跃_高,threshold,2.0
