scenario,seed,split,level,algo,n_usable,n_test,auc,ks,lift@5,recall@5,lift@10,recall@10,lift@20,recall@20,comm_floats,comm_rounds,comm_grad_msgs,comm_hist_msgs,gradient_returned,auuc,uplift@10,topk_overlap@10
S5_低重叠高漂移,22,oot,L3b_纵向GBDT,vertical_gbdt,2375.0,713.0,0.8040906017579446,0.5505409060175794,7.189915966386555,0.35294117647058826,5.907207953603978,0.5882352941176471,2.953603976801989,0.5882352941176471,751872.0,60.0,408.0,408.0,,,,
S5_低重叠高漂移,22,oot,L3c_SplitNN_形态A双向,splitnn,2375.0,713.0,0.735209601081812,0.4153989181879648,4.79327731092437,0.23529411764705882,2.3628831814415907,0.23529411764705882,2.3628831814415907,0.47058823529411764,147456.0,72.0,,,1.0,,,
S5_低重叠高漂移,22,oot,L3c_SplitNN_形态B自监督,splitnn,2375.0,713.0,0.7289553752535497,0.3563218390804598,2.396638655462185,0.11764705882352941,2.3628831814415907,0.23529411764705882,2.6582435791217898,0.5294117647058824,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,22,oot,L3c_SplitNN_形态B随机,splitnn,2375.0,713.0,0.683739012846518,0.32614942528735635,1.1983193277310924,0.058823529411764705,2.3628831814415907,0.23529411764705882,2.3628831814415907,0.47058823529411764,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,22,oot,L0_内地单方_UPLIFT,t_learner,2375.0,713.0,,,,,,,,,,,,,,0.002409022294646298,-0.038950715421303655,
S5_低重叠高漂移,22,oot,L1_加k匿名统计_UPLIFT,t_learner,2375.0,713.0,,,,,,,,,,,,,,0.0041994578225606535,0.017488076311605733,
S5_低重叠高漂移,22,oot,L2_加粗粒度标记_UPLIFT,t_learner,2375.0,713.0,,,,,,,,,,,,,,0.0010544717080059882,-0.05368589743589744,
S5_低重叠高漂移,22,oot,L4_集中式_UPLIFT,t_learner,2375.0,713.0,,,,,,,,,,,,,,0.002630564969027362,0.003968253968253954,
S5_低重叠高漂移,22,oot,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,,,,,,,0.4507042253521127
S5_低重叠高漂移,22,oot,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,,,,,,,0.38028169014084506
S5_低重叠高漂移,22,oot,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,,,,,,,0.4225352112676056
S5_低重叠高漂移,33,random,L0_内地单方_LR,logistic,2436.0,731.0,0.6836351441985244,0.288933601609658,4.834656084656085,0.23809523809523808,2.8610567514677103,0.2857142857142857,1.9073711676451401,0.38095238095238093,0.0,,,,,,,
S5_低重叠高漂移,33,random,L1_加k匿名统计_LR,logistic,2436.0,731.0,0.6857813547954392,0.3269617706237425,3.8677248677248675,0.19047619047619047,2.8610567514677103,0.2857142857142857,1.6689497716894977,0.3333333333333333,384.0,,,,,,,
S5_低重叠高漂移,33,random,L2_加粗粒度标记_LR,logistic,2436.0,731.0,0.7365526492287056,0.40590207914151566,4.834656084656085,0.23809523809523808,3.3378995433789953,0.3333333333333333,2.1457925636007826,0.42857142857142855,0.0,,,,,,,
S5_低重叠高漂移,33,random,L4_集中式_LR,logistic,2436.0,731.0,0.8248155600268275,0.5083836351441985,5.801587301587301,0.2857142857142857,4.291585127201565,0.42857142857142855,3.0994781474233526,0.6190476190476191,0.0,,,,,,,
