scenario,split,level,auc_mean,ci_low,ci_high,n_seeds
S5_低重叠高漂移,oot,L3c_SplitNN_形态B自监督,0.6392142745105078,0.5804600378633288,0.6979685111576869,5.0
S5_低重叠高漂移,oot,L3c_SplitNN_形态B随机,0.635206811347597,0.5834223945378187,0.6869912281573753,5.0
S5_低重叠高漂移,oot,L4_集中式_GBDT,0.7195659766712925,0.5786569586457029,0.8604749946968822,5.0
S5_低重叠高漂移,oot,L4_集中式_LR,0.8013496850046117,0.7554119456711915,0.8472874243380318,5.0
S5_低重叠高漂移,random,L0_内地单方_GBDT,0.6543541662675306,0.5583008675501268,0.7504074649849345,5.0
S5_低重叠高漂移,random,L0_内地单方_LR,0.687665878550489,0.628578378423341,0.746753378677637,5.0
S5_低重叠高漂移,random,L1_加k匿名统计_LR,0.681906764118684,0.6248408176085727,0.7389727106287953,5.0
S5_低重叠高漂移,random,L2_加粗粒度标记_LR,0.683644207412177,0.5953449208377247,0.7719434939866293,5.0
S5_低重叠高漂移,random,L3a_联邦LR,0.7520182567638332,0.653403220109767,0.8506332934178993,5.0
S5_低重叠高漂移,random,L3b_纵向GBDT,0.7561547794629705,0.6583329076168173,0.8539766513091237,5.0
S5_低重叠高漂移,random,L3c_SplitNN_形态A双向,0.6772667671344179,0.5545580409329861,0.7999754933358497,5.0
S5_低重叠高漂移,random,L3c_SplitNN_形态B自监督,0.6200394118571528,0.49765859332152884,0.7424202303927768,5.0
S5_低重叠高漂移,random,L3c_SplitNN_形态B随机,0.5999793228733645,0.4885616460734862,0.7113969996732429,5.0
S5_低重叠高漂移,random,L4_集中式_GBDT,0.7561547794629705,0.6583329076168173,0.8539766513091237,5.0
S5_低重叠高漂移,random,L4_集中式_LR,0.7733116117613272,0.6864865637629173,0.8601366597597372,5.0
S6_匹配噪声,oot,L0_内地单方_GBDT,0.6962579074341803,0.668065832334052,0.7244499825343085,5.0
S6_匹配噪声,oot,L0_内地单方_LR,0.7162153868478432,0.6875076025584236,0.7449231711372629,5.0
S6_匹配噪声,oot,L1_加k匿名统计_LR,0.7140548427770973,0.6834170343253578,0.7446926512288368,5.0
S6_匹配噪声,oot,L2_加粗粒度标记_LR,0.7212009422565174,0.6962661008197168,0.746135783693318,5.0
S6_匹配噪声,oot,L3a_联邦LR,0.7919416609897832,0.7555578668772426,0.8283254551023239,5.0
S6_匹配噪声,oot,L3b_纵向GBDT,0.7672896652024408,0.7355148720343015,0.79906445837058,5.0
S6_匹配噪声,oot,L3c_SplitNN_形态A双向,0.7703757013285364,0.7270850143335388,0.813666388323534,5.0
S6_匹配噪声,oot,L3c_SplitNN_形态B自监督,0.7182302019197234,0.6657839488625543,0.7706764549768925,5.0
S6_匹配噪声,oot,L3c_SplitNN_形态B随机,0.7155917868620498,0.6841686066319058,0.7470149670921938,5.0
S6_匹配噪声,oot,L4_集中式_GBDT,0.7672896652024408,0.7355148720343015,0.79906445837058,5.0
S6_匹配噪声,oot,L4_集中式_LR,0.7917547986129608,0.7554187350366609,0.8280908621892608,5.0
S6_匹配噪声,random,L0_内地单方_GBDT,0.67578857663136,0.6240471793379395,0.7275299739247806,5.0
S6_匹配噪声,random,L0_内地单方_LR,0.7088802470357681,0.6739999155267408,0.7437605785447955,5.0
S6_匹配噪声,random,L1_加k匿名统计_LR,0.7078281979397756,0.6713765690790279,0.7442798268005233,5.0
S6_匹配噪声,random,L2_加粗粒度标记_LR,0.7131590995393119,0.6757178004039137,0.7506003986747101,5.0
S6_匹配噪声,random,L3a_联邦LR,0.7811021903622768,0.7266539546972202,0.8355504260273334,5.0
S6_匹配噪声,random,L3b_纵向GBDT,0.7543328476244152,0.6947337601767255,0.8139319350721049,5.0
S6_匹配噪声,random,L3c_SplitNN_形态A双向,0.7624632179576039,0.6886615823667697,0.836264853548438,5.0
S6_匹配噪声,random,L3c_SplitNN_形态B自监督,0.7404656756488973,0.6907661238042813,0.7901652274935134,5.0
S6_匹配噪声,random,L3c_SplitNN_形态B随机,0.7223417718275138,0.6725437798684092,0.7721397637866184,5.0
S6_匹配噪声,random,L4_集中式_GBDT,0.7543328476244152,0.6947337601767255,0.8139319350721049,5.0
S6_匹配噪声,random,L4_集中式_LR,0.7810648638691704,0.7265372822049178,0.835592445533423,5.0
S7_同意选择偏差,oot,L0_内地单方_GBDT,0.6249673087525498,0.5857684028294343,0.6641662146756653,5.0
S7_同意选择偏差,oot,L0_内地单方_LR,0.6477142524926525,0.6135233629773333,0.6819051420079716,5.0
S7_同意选择偏差,oot,L1_加k匿名统计_LR,0.6425836073844933,0.6066380496892237,0.6785291650797628,5.0
S7_同意选择偏差,oot,L2_加粗粒度标记_LR,0.6574523183357358,0.6220495607809019,0.6928550758905697,5.0
S7_同意选择偏差,oot,L3a_联邦LR,0.7397274235105481,0.6972375143090244,0.7822173327120718,5.0
S7_同意选择偏差,oot,L3b_纵向GBDT,0.710799775050371,0.6653580702426987,0.7562414798580432,5.0
S7_同意选择偏差,oot,L3c_SplitNN_形态A双向,0.7175532523244585,0.6794843075284853,0.7556221971204318,5.0
S7_同意选择偏差,oot,L3c_SplitNN_形态B自监督,0.6491248577483434,0.6156449739269783,0.6826047415697085,5.0
S7_同意选择偏差,oot,L3c_SplitNN_形态B随机,0.6442216201856354,0.6206541011575684,0.6677891392137025,5.0
S7_同意选择偏差,oot,L4_集中式_GBDT,0.710799775050371,0.6653580702426987,0.7562414798580432,5.0
S7_同意选择偏差,oot,L4_集中式_LR,0.7399815214441314,0.6975820748902831,0.7823809679979797,5.0
S7_同意选择偏差,random,L0_内地单方_GBDT,0.6488552556570089,0.6198409912908744,0.6778695200231433,5.0
S7_同意选择偏差,random,L0_内地单方_LR,0.6847980993628351,0.658239851648843,0.7113563470768272,5.0
S7_同意选择偏差,random,L1_加k匿名统计_LR,0.6834051484289319,0.6538725531243472,0.7129377437335165,5.0
S7_同意选择偏差,random,L2_加粗粒度标记_LR,0.684609285362004,0.6626593303865425,0.7065592403374656,5.0
S7_同意选择偏差,random,L3a_联邦LR,0.7453306862994149,0.6889726618323347,0.8016887107664951,5.0
S7_同意选择偏差,random,L3b_纵向GBDT,0.7139432336024173,0.6617764341052083,0.7661100330996263,5.0
S7_同意选择偏差,random,L3c_SplitNN_形态A双向,0.707169318984774,0.644824248576541,0.769514389393007,5.0
S7_同意选择偏差,random,L3c_SplitNN_形态B自监督,0.6640272870186823,0.6175135088443319,0.7105410651930327,5.0
S7_同意选择偏差,random,L3c_SplitNN_形态B随机,0.6399310205080733,0.6141188910785396,0.665743149937607,5.0
S7_同意选择偏差,random,L4_集中式_GBDT,0.7139432336024173,0.6617764341052083,0.7661100330996263,5.0
S7_同意选择偏差,random,L4_集中式_LR,0.7455562656633752,0.6893642077804037,0.8017483235463466,5.0
S8_稀疏正样本,oot,L0_内地单方_GBDT,0.6634921363625358,0.6103940398005885,0.7165902329244831,5.0
S8_稀疏正样本,oot,L0_内地单方_LR,0.7368409491803151,0.6959665131964785,0.7777153851641516,5.0
S8_稀疏正样本,oot,L1_加k匿名统计_LR,0.7349353233774023,0.6908992330557872,0.7789714136990175,5.0
S8_稀疏正样本,oot,L2_加粗粒度标记_LR,0.7356351577766675,0.6845585112848372,0.7867118042684978,5.0
S8_稀疏正样本,oot,L3a_联邦LR,0.8437358408298149,0.8212789768220651,0.8661927048375647,5.0
S8_稀疏正样本,oot,L3b_纵向GBDT,0.7952737096060003,0.7552755493398856,0.835271869872115,5.0
