scenario,seed,split,level,algo,n_usable,n_test,auc,ks,lift@5,recall@5,lift@10,recall@10,lift@20,recall@20,comm_floats,sweep_param,sweep_value,comm_rounds,comm_grad_msgs,comm_hist_msgs,gradient_returned,auuc,uplift@10,topk_overlap@10
SWEEP_complementarity_0.0,55,random,L2_加粗粒度标记_LR,logistic,7121.0,2137.0,0.78713669802219,0.5164164254703328,5.040094339622641,0.25,4.232614436619718,0.421875,3.2061255854800934,0.640625,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,55,random,L4_集中式_LR,logistic,7121.0,2137.0,0.8043370115774241,0.523087011577424,6.300117924528302,0.3125,4.702904929577465,0.46875,3.362521955503513,0.671875,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,55,random,L0_内地单方_GBDT,gbdt,7121.0,2137.0,0.7627268753014955,0.4664586348287506,4.725088443396226,0.234375,3.7623239436619715,0.375,2.893332845433255,0.578125,0.0,complementarity,0.0,60.0,0.0,0.0,,,,
SWEEP_complementarity_0.0,55,random,L4_集中式_GBDT,gbdt,7121.0,2137.0,0.8000708514230583,0.5267577182826821,5.040094339622641,0.25,4.546141431924882,0.453125,3.284323770491803,0.65625,1955520.0,complementarity,0.0,60.0,420.0,420.0,,,,
SWEEP_complementarity_0.0,55,random,L3a_联邦LR,federated_logistic,7121.0,2137.0,0.8042164134105161,0.523087011577424,6.300117924528302,0.3125,4.702904929577465,0.46875,3.362521955503513,0.671875,3987200.0,complementarity,0.0,400.0,,,,,,
SWEEP_complementarity_0.0,55,random,L3b_纵向GBDT,vertical_gbdt,7121.0,2137.0,0.8000708514230583,0.5267577182826821,5.040094339622641,0.25,4.546141431924882,0.453125,3.284323770491803,0.65625,1955520.0,complementarity,0.0,60.0,420.0,420.0,,,,
SWEEP_complementarity_0.0,55,random,L3c_SplitNN_形态A双向,splitnn,7121.0,2137.0,0.7935811625663289,0.49856789676796914,6.300117924528302,0.3125,4.546141431924882,0.453125,3.2061255854800934,0.640625,466944.0,complementarity,0.0,228.0,,,1.0,,,
SWEEP_complementarity_0.0,55,random,L3c_SplitNN_形态B自监督,splitnn,7121.0,2137.0,0.7819735890014472,0.4830484201640135,6.300117924528302,0.3125,4.232614436619718,0.421875,2.971531030444965,0.59375,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,55,random,L3c_SplitNN_形态B随机,splitnn,7121.0,2137.0,0.757492161119151,0.4269024360829715,5.355100235849056,0.265625,3.7623239436619715,0.375,2.6587382903981265,0.53125,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,55,random,L0_内地单方_UPLIFT,t_learner,7121.0,2137.0,,,,,,,,,,complementarity,0.0,,,,,0.008000749143813825,0.09671694764862468,
SWEEP_complementarity_0.0,55,random,L1_加k匿名统计_UPLIFT,t_learner,7121.0,2137.0,,,,,,,,,,complementarity,0.0,,,,,0.007305074322853989,0.08532695374800639,
SWEEP_complementarity_0.0,55,random,L2_加粗粒度标记_UPLIFT,t_learner,7121.0,2137.0,,,,,,,,,,complementarity,0.0,,,,,0.008390152764044076,0.08221594918842626,
SWEEP_complementarity_0.0,55,random,L4_集中式_UPLIFT,t_learner,7121.0,2137.0,,,,,,,,,,complementarity,0.0,,,,,0.008738783123318371,0.09541041482789055,
SWEEP_complementarity_0.0,55,random,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.6572769953051644
SWEEP_complementarity_0.0,55,random,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.5492957746478874
SWEEP_complementarity_0.0,55,random,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.5117370892018779
SWEEP_complementarity_0.4,11,random,L0_内地单方_LR,logistic,7236.0,2171.0,0.6895817353982734,0.3418737862493268,3.119252873563218,0.15517241379310345,2.2424122040362304,0.22413793103448276,2.156165580804068,0.43103448275862066,0.0,complementarity,0.4,,,,,,,
SWEEP_complementarity_0.4,11,random,L1_加k匿名统计_LR,logistic,7236.0,2171.0,0.6792352758783884,0.3257176428349952,3.119252873563218,0.15517241379310345,2.0699189575719052,0.20689655172413793,1.8974257111075798,0.3793103448275862,384.0,complementarity,0.4,,,,,,,
SWEEP_complementarity_0.4,11,random,L2_加粗粒度标记_LR,logistic,7236.0,2171.0,0.6901447525172577,0.3000881244186236,3.119252873563218,0.15517241379310345,2.2424122040362304,0.22413793103448276,2.0699189575719052,0.41379310344827586,0.0,complementarity,0.4,,,,,,,
SWEEP_complementarity_0.4,11,random,L4_集中式_LR,logistic,7236.0,2171.0,0.700719682752093,0.33660264046869137,2.4260855683269473,0.1206896551724138,2.0699189575719052,0.20689655172413793,2.156165580804068,0.43103448275862066,0.0,complementarity,0.4,,,,,,,
SWEEP_complementarity_0.4,11,random,L0_内地单方_GBDT,gbdt,7236.0,2171.0,0.6442384581490609,0.2508608450152586,3.119252873563218,0.15517241379310345,2.0699189575719052,0.20689655172413793,1.9836723343397424,0.39655172413793105,0.0,complementarity,0.4,60.0,0.0,0.0,,,,
SWEEP_complementarity_0.4,11,random,L4_集中式_GBDT,gbdt,7236.0,2171.0,0.652137017151623,0.28394014067268303,2.079501915708812,0.10344827586206896,2.759891943429207,0.27586206896551724,1.8974257111075798,0.3793103448275862,1981422.0,complementarity,0.4,60.0,414.0,414.0,,,,
SWEEP_complementarity_0.4,11,random,L3a_联邦LR,federated_logistic,7236.0,2171.0,0.7007931197676127,0.33565611893532654,2.079501915708812,0.10344827586206896,2.0699189575719052,0.20689655172413793,2.156165580804068,0.43103448275862066,4052000.0,complementarity,0.4,400.0,,,,,,
SWEEP_complementarity_0.4,11,random,L3b_纵向GBDT,vertical_gbdt,7236.0,2171.0,0.652137017151623,0.28394014067268303,2.079501915708812,0.10344827586206896,2.759891943429207,0.27586206896551724,1.8974257111075798,0.3793103448275862,1981422.0,complementarity,0.4,60.0,414.0,414.0,,,,
SWEEP_complementarity_0.4,11,random,L3c_SplitNN_形态A双向,splitnn,7236.0,2171.0,0.6552703298137963,0.27184751211710756,2.4260855683269473,0.1206896551724138,1.8974257111075798,0.1896551724137931,1.7249324646432544,0.3448275862068966,466944.0,complementarity,0.4,228.0,,,1.0,,,
SWEEP_complementarity_0.4,11,random,L3c_SplitNN_形态B自监督,splitnn,7236.0,2171.0,0.6721037257045873,0.2928668178925209,2.4260855683269473,0.1206896551724138,2.5873986969648817,0.25862068965517243,2.0699189575719052,0.41379310344827586,233472.0,complementarity,0.4,228.0,,,0.0,,,
SWEEP_complementarity_0.4,11,random,L3c_SplitNN_形态B随机,splitnn,7236.0,2171.0,0.674731138926514,0.27512769881032034,3.4658365261813535,0.1724137931034483,2.932385189893532,0.29310344827586204,2.156165580804068,0.43103448275862066,233472.0,complementarity,0.4,228.0,,,0.0,,,
SWEEP_complementarity_0.4,11,random,L0_内地单方_UPLIFT,t_learner,7236.0,2171.0,,,,,,,,,,complementarity,0.4,,,,,0.0002385424406036378,-0.007561597281223444,
SWEEP_complementarity_0.4,11,random,L1_加k匿名统计_UPLIFT,t_learner,7236.0,2171.0,,,,,,,,,,complementarity,0.4,,,,,1.4642982198710148e-05,-0.007681802663024921,
SWEEP_complementarity_0.4,11,random,L2_加粗粒度标记_UPLIFT,t_learner,7236.0,2171.0,,,,,,,,,,complementarity,0.4,,,,,0.0015426844626453729,-0.017923887189942242,
SWEEP_complementarity_0.4,11,random,L4_集中式_UPLIFT,t_learner,7236.0,2171.0,,,,,,,,,,complementarity,0.4,,,,,0.001916001656328438,0.011384876805437552,
SWEEP_complementarity_0.4,11,random,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,complementarity,0.4,,,,,,,0.6774193548387096
