valid_auc,test_auc,point,level,seed,n_points,scenario
0.6903327928345302,0.7197042238536014,{'c_reg': 100.0},L2_LR,33,5,S8_稀疏正样本
0.8953362674696934,0.8759974465368656,{'c_reg': 0.1},L4_LR,33,5,S8_稀疏正样本
0.8950660180681028,0.8741355463347165,"{'flr_l2': 0.0001, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,33,27,S8_稀疏正样本
0.8738321365145549,0.7897116714544101,"{'gbdt_lr': 0.05, 'max_depth': 2, 'n_rounds': 30, 'reg_lambda': 0.1}",L3b_纵向GBDT,33,81,S8_稀疏正样本
0.8683113273106324,0.872380040429833,"{'dim_embed': 8, 'dim_hidden': 16, 'nn_epochs': 16, 'nn_lr': 0.003}",L3c_SplitNN,33,54,S8_稀疏正样本
0.6126874279123414,0.7676382142030996,{'c_reg': 10.0},L0_LR,44,5,S8_稀疏正样本
0.6722606689734718,0.727773922430411,"{'c_reg': 100.0, 'k_anonymity': 10, 'n_segments': 1024}",L1_LR,44,60,S8_稀疏正样本
0.6036332179930796,0.7703369573598582,{'c_reg': 0.1},L2_LR,44,5,S8_稀疏正样本
0.8807381776239908,0.9150666975094456,{'c_reg': 0.01},L4_LR,44,5,S8_稀疏正样本
0.8834486735870819,0.919461793507595,"{'flr_l2': 0.01, 'flr_lr': 0.5, 'flr_rounds': 400}",L3a_联邦LR,44,27,S8_稀疏正样本
0.8649365628604383,0.9248978332947798,"{'gbdt_lr': 0.3, 'max_depth': 2, 'n_rounds': 60, 'reg_lambda': 10.0}",L3b_纵向GBDT,44,81,S8_稀疏正样本
0.8843713956170703,0.9050813478294395,"{'dim_embed': 2, 'dim_hidden': 8, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,44,54,S8_稀疏正样本
0.7836325033777263,0.7904018912529551,{'c_reg': 0.01},L0_LR,55,5,S8_稀疏正样本
0.7867207102875893,0.7952718676122932,"{'c_reg': 0.01, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,55,60,S8_稀疏正样本
0.7853696197645241,0.8,{'c_reg': 0.01},L2_LR,55,5,S8_稀疏正样本
0.7598919127581547,0.8066666666666666,{'c_reg': 100.0},L4_LR,55,5,S8_稀疏正样本
0.7611786656372643,0.8045390070921986,"{'flr_l2': 0.0001, 'flr_lr': 0.5, 'flr_rounds': 400}",L3a_联邦LR,55,27,S8_稀疏正样本
0.7673550794569903,0.7256501182033097,"{'gbdt_lr': 0.05, 'max_depth': 2, 'n_rounds': 60, 'reg_lambda': 0.1}",L3b_纵向GBDT,55,81,S8_稀疏正样本
0.7707006369426751,0.7650118203309693,"{'dim_embed': 8, 'dim_hidden': 8, 'nn_epochs': 8, 'nn_lr': 0.01}",L3c_SplitNN,55,54,S8_稀疏正样本
